id,col,idx,size,price,fees,side
0,0,451,858.0137778994441,1164.9,499.75012493753127,1
1,0,454,1725.8370035420444,1157.7,999.0007495002355,0
2,0,456,1734.7790617543235,1157.5,1004.0033819903147,1
3,0,457,1732.745755133696,1157.7,1002.9998803590424,0
4,0,460,1730.7144808035441,1161.4,1005.0258990026182,1
5,0,461,1734.5104523891064,1157.7,1004.0213753653225,0
6,0,465,1738.3026299001203,1159.3,1007.6071194216047,1
7,0,466,1738.9652169888,1157.7,1006.6000158537645,0
8,0,467,1739.627141821519,1160.9,1009.7665744703008,1
9,0,468,1742.6920834876087,1157.7,1008.7573125266936,0
10,0,469,1745.7539617437371,1164.9,1016.8143950176398,1
11,0,470,1754.8554699416827,1157.7,1015.7980887757149,0
12,0,471,1763.9478811799104,1164.9,1027.4114433932389,1
13,0,473,1773.1442435844226,1157.7,1026.3845453986432,0
14,0,475,1782.3314142224133,1170.0,1042.6638773201119,1
15,0,1003,1800.5561530063867,1157.0,1041.621734514134,0
16,0,1004,1818.7626761593917,1165.7,1060.0658257995015,1
17,0,1576,1822.8871499126103,1161.9,1059.00628974149,0
18,0,1577,1827.007501253282,1166.9,1065.9675266062275,1
19,0,1597,1833.035703239566,1161.9,1064.9020917969756,0
20,0,1598,1839.0578800364578,1164.5,1070.7914506512275,1
21,0,1599,1841.3309137253418,1161.9,1069.7211943287402,0
22,0,1600,1843.601675516486,1170.1000000000001,1078.5991602609201,1
23,0,2351,2002.0830548694248,1076.4,1077.5211001303978,0
24,0,2353,2160.4060320440994,1073.1000000000001,1159.1658564932616,1
25,0,3126,1956.0933613683278,1184.0,1158.0072699300945,0
26,0,3130,1751.9849012579493,1179.8,1033.4958932520642,1
27,0,3140,1744.025192311679,1184.0,1032.4629138484597,0
28,0,3143,1736.0734390964892,1182.9,1026.8006355536186,1
